using M.Exp for Logarithm
Epoch: 18900 	 loss = nan
Epoch: 19000 	 loss = nan
Epoch: 19100 	 loss = nan
Epoch: 19200 	 loss = nan
Epoch: 19300 	 loss = nan
Epoch: 19400 	 loss = nan
Epoch: 19500 	 loss = nan
Epoch: 19600 	 loss = nan
Epoch: 19700 	 loss = nan
Epoch: 19800 	 loss = nan
Epoch: 19900 	 loss = nan
Epoch: 20000 	 loss = nan
Epoch: 20100 	 loss = nan
Epoch: 20200 	 loss = nan
Epoch: 20300 	 loss = nan
Epoch: 20400 	 loss = nan
Epoch: 20500 	 loss = nan
Epoch: 20600 	 loss = nan
Epoch: 20700 	 loss = nan
Epoch: 20800 	 loss = nan
Epoch: 20900 	 loss = nan
Epoch: 21000 	 loss = nan
Epoch: 21100 	 loss = nan
Epoch: 21200 	 loss = nan
Epoch: 21300 	 loss = nan
Epoch: 21400 	 loss = nan
Epoch: 21500 	 loss = nan
Epoch: 21600 	 loss = nan
Epoch: 21700 	 loss = nan
Epoch: 21800 	 loss = nan
Epoch: 21900 	 loss = nan
Epoch: 22000 	 loss = nan
Epoch: 22100 	 loss = nan
Epoch: 22200 	 loss = nan
Epoch: 22300 	 loss = nan
Epoch: 22400 	 loss = nan
Epoch: 22500 	 loss = nan
Epoch: 22600 	 loss = nan
Epoch: 22700 	 loss = nan
Epoch: 22800 	 loss = nan
Epoch: 22900 	 loss = nan
Epoch: 23000 	 loss = nan
Epoch: 23100 	 loss = nan
Epoch: 23200 	 loss = nan
Epoch: 23300 	 loss = nan
Epoch: 23400 	 loss = nan
Epoch: 23500 	 loss = nan
Epoch: 23600 	 loss = nan
Epoch: 23700 	 loss = nan
Epoch: 23800 	 loss = nan
Epoch: 23900 	 loss = nan
Epoch: 24000 	 loss = nan
Epoch: 24100 	 loss = nan
Epoch: 24200 	 loss = nan
Epoch: 24300 	 loss = nan
Epoch: 24400 	 loss = nan
Epoch: 24500 	 loss = nan
Epoch: 24600 	 loss = nan
Epoch: 24700 	 loss = nan
Epoch: 24800 	 loss = nan
Epoch: 24900 	 loss = nan
Epoch: 25000 	 loss = nan
Epoch: 25100 	 loss = nan
Epoch: 25200 	 loss = nan
Epoch: 25300 	 loss = nan
Epoch: 25400 	 loss = nan
Epoch: 25500 	 loss = nan
Epoch: 25600 	 loss = nan
Epoch: 25700 	 loss = nan
Epoch: 25800 	 loss = nan
Epoch: 25900 	 loss = nan
Epoch: 26000 	 loss = nan
Epoch: 26100 	 loss = nan
Epoch: 26200 	 loss = nan
Epoch: 26300 	 loss = nan
Epoch: 26400 	 loss = nan
Epoch: 26500 	 loss = nan
Epoch: 26600 	 loss = nan
Epoch: 26700 	 loss = nan
Epoch: 26800 	 loss = nan
Epoch: 26900 	 loss = nan
Epoch: 27000 	 loss = nan
Epoch: 27100 	 loss = nan
Epoch: 27200 	 loss = nan
Epoch: 27300 	 loss = nan
Epoch: 27400 	 loss = nan
Epoch: 27500 	 loss = nan
Epoch: 27600 	 loss = nan
Epoch: 27700 	 loss = nan
Epoch: 27800 	 loss = nan
Epoch: 27900 	 loss = nan
Epoch: 28000 	 loss = nan
Epoch: 28100 	 loss = nan
Epoch: 28200 	 loss = nan
Epoch: 28300 	 loss = nan
Epoch: 28400 	 loss = nan
Epoch: 28500 	 loss = nan
Epoch: 28600 	 loss = nan
Epoch: 28700 	 loss = nan
Epoch: 28800 	 loss = nan
Epoch: 28900 	 loss = nan
Epoch: 29000 	 loss = nan
Epoch: 29100 	 loss = nan
Epoch: 29200 	 loss = nan
Epoch: 29300 	 loss = nan
Epoch: 29400 	 loss = nan
Epoch: 29500 	 loss = nan
Epoch: 29600 	 loss = nan
Epoch: 29700 	 loss = nan
Epoch: 29800 	 loss = nan
Epoch: 29900 	 loss = nan
Epoch: 30000 	 loss = nan
Epoch: 30100 	 loss = nan
Epoch: 30200 	 loss = nan
Epoch: 30300 	 loss = nan
Epoch: 30400 	 loss = nan
Epoch: 30500 	 loss = nan
Epoch: 30600 	 loss = nan
Epoch: 30700 	 loss = nan
Epoch: 30800 	 loss = nan
Epoch: 30900 	 loss = nan
Epoch: 31000 	 loss = nan
Epoch: 31100 	 loss = nan
Epoch: 31200 	 loss = nan
Epoch: 31300 	 loss = nan
Epoch: 31400 	 loss = nan
Epoch: 31500 	 loss = nan
Epoch: 31600 	 loss = nan
Epoch: 31700 	 loss = nan
Epoch: 31800 	 loss = nan
Epoch: 31900 	 loss = nan
Epoch: 32000 	 loss = nan
Epoch: 32100 	 loss = nan
Epoch: 32200 	 loss = nan
Epoch: 32300 	 loss = nan
Epoch: 32400 	 loss = nan
Epoch: 32500 	 loss = nan
Epoch: 32600 	 loss = nan
Epoch: 32700 	 loss = nan
Epoch: 32800 	 loss = nan
Epoch: 32900 	 loss = nan
Epoch: 33000 	 loss = nan
Epoch: 33100 	 loss = nan
Epoch: 33200 	 loss = nan
Epoch: 33300 	 loss = nan
Epoch: 33400 	 loss = nan
Epoch: 33500 	 loss = nan
Epoch: 33600 	 loss = nan
Epoch: 33700 	 loss = nan
Epoch: 33800 	 loss = nan
Epoch: 33900 	 loss = nan
Epoch: 34000 	 loss = nan
Epoch: 34100 	 loss = nan
Epoch: 34200 	 loss = nan
Epoch: 34300 	 loss = nan
Epoch: 34400 	 loss = nan
Epoch: 34500 	 loss = nan
Epoch: 34600 	 loss = nan
Epoch: 34700 	 loss = nan
Epoch: 34800 	 loss = nan
Epoch: 34900 	 loss = nan
Epoch: 35000 	 loss = nan
Epoch: 35100 	 loss = nan
Epoch: 35200 	 loss = nan
Epoch: 35300 	 loss = nan
Epoch: 35400 	 loss = nan
Epoch: 35500 	 loss = nan
Epoch: 35600 	 loss = nan
Epoch: 35700 	 loss = nan
Epoch: 35800 	 loss = nan
Epoch: 35900 	 loss = nan
Epoch: 36000 	 loss = nan
Epoch: 36100 	 loss = nan
Epoch: 36200 	 loss = nan
Epoch: 36300 	 loss = nan
Epoch: 36400 	 loss = nan
Epoch: 36500 	 loss = nan
Epoch: 36600 	 loss = nan
Epoch: 36700 	 loss = nan
Epoch: 36800 	 loss = nan
Epoch: 36900 	 loss = nan
Epoch: 37000 	 loss = nan
Epoch: 37100 	 loss = nan
Epoch: 37200 	 loss = nan
Epoch: 37300 	 loss = nan
Epoch: 37400 	 loss = nan
Epoch: 37500 	 loss = nan
Epoch: 37600 	 loss = nan
Epoch: 37700 	 loss = nan
Epoch: 37800 	 loss = nan
Epoch: 37900 	 loss = nan
Epoch: 38000 	 loss = nan
Epoch: 38100 	 loss = nan
Epoch: 38200 	 loss = nan
Epoch: 38300 	 loss = nan
Epoch: 38400 	 loss = nan
Epoch: 38500 	 loss = nan
Epoch: 38600 	 loss = nan
Epoch: 38700 	 loss = nan
Epoch: 38800 	 loss = nan
Epoch: 38900 	 loss = nan
Epoch: 39000 	 loss = nan
Epoch: 39100 	 loss = nan
Epoch: 39200 	 loss = nan
Epoch: 39300 	 loss = nan
Epoch: 39400 	 loss = nan
Epoch: 39500 	 loss = nan
Epoch: 39600 	 loss = nan
Epoch: 39700 	 loss = nan
Epoch: 39800 	 loss = nan
Epoch: 39900 	 loss = nan
Epoch: 40000 	 loss = nan
Epoch: 40100 	 loss = nan
Epoch: 40200 	 loss = nan
Epoch: 40300 	 loss = nan
Epoch: 40400 	 loss = nan
Epoch: 40500 	 loss = nan
Epoch: 40600 	 loss = nan
Epoch: 40700 	 loss = nan
Epoch: 40800 	 loss = nan
Epoch: 40900 	 loss = nan
Epoch: 41000 	 loss = nan
Epoch: 41100 	 loss = nan
Epoch: 41200 	 loss = nan
Epoch: 41300 	 loss = nan
Epoch: 41400 	 loss = nan
Epoch: 41500 	 loss = nan
Epoch: 41600 	 loss = nan
Epoch: 41700 	 loss = nan
Epoch: 41800 	 loss = nan
Epoch: 41900 	 loss = nan
Epoch: 42000 	 loss = nan
Epoch: 42100 	 loss = nan
Epoch: 42200 	 loss = nan
Epoch: 42300 	 loss = nan
Epoch: 42400 	 loss = nan
Epoch: 42500 	 loss = nan
