using M.Exp for Logarithm
Epoch: 18900 	 loss = inf
Epoch: 19000 	 loss = inf
Epoch: 19100 	 loss = inf
Epoch: 19200 	 loss = inf
Epoch: 19300 	 loss = inf
Epoch: 19400 	 loss = inf
Epoch: 19500 	 loss = inf
Epoch: 19600 	 loss = inf
Epoch: 19700 	 loss = inf
Epoch: 19800 	 loss = inf
Epoch: 19900 	 loss = inf
Epoch: 20000 	 loss = inf
Epoch: 20100 	 loss = inf
Epoch: 20200 	 loss = inf
Epoch: 20300 	 loss = inf
Epoch: 20400 	 loss = inf
Epoch: 20500 	 loss = inf
Epoch: 20600 	 loss = inf
Epoch: 20700 	 loss = inf
Epoch: 20800 	 loss = inf
Epoch: 20900 	 loss = inf
Epoch: 21000 	 loss = inf
Epoch: 21100 	 loss = inf
Epoch: 21200 	 loss = inf
Epoch: 21300 	 loss = inf
Epoch: 21400 	 loss = inf
Epoch: 21500 	 loss = inf
Epoch: 21600 	 loss = inf
Epoch: 21700 	 loss = inf
Epoch: 21800 	 loss = inf
Epoch: 21900 	 loss = inf
Epoch: 22000 	 loss = inf
Epoch: 22100 	 loss = inf
Epoch: 22200 	 loss = inf
Epoch: 22300 	 loss = inf
Epoch: 22400 	 loss = inf
Epoch: 22500 	 loss = inf
Epoch: 22600 	 loss = inf
Epoch: 22700 	 loss = inf
Epoch: 22800 	 loss = inf
Epoch: 22900 	 loss = inf
Epoch: 23000 	 loss = inf
Epoch: 23100 	 loss = inf
Epoch: 23200 	 loss = inf
Epoch: 23300 	 loss = inf
Epoch: 23400 	 loss = inf
Epoch: 23500 	 loss = inf
Epoch: 23600 	 loss = inf
Epoch: 23700 	 loss = inf
Epoch: 23800 	 loss = inf
Epoch: 23900 	 loss = inf
Epoch: 24000 	 loss = inf
Epoch: 24100 	 loss = inf
Epoch: 24200 	 loss = inf
Epoch: 24300 	 loss = inf
Epoch: 24400 	 loss = inf
Epoch: 24500 	 loss = inf
Epoch: 24600 	 loss = inf
Epoch: 24700 	 loss = inf
Epoch: 24800 	 loss = inf
Epoch: 24900 	 loss = inf
Epoch: 25000 	 loss = inf
Epoch: 25100 	 loss = inf
Epoch: 25200 	 loss = inf
Epoch: 25300 	 loss = inf
Epoch: 25400 	 loss = inf
Epoch: 25500 	 loss = inf
Epoch: 25600 	 loss = inf
Epoch: 25700 	 loss = inf
Epoch: 25800 	 loss = inf
Epoch: 25900 	 loss = inf
Epoch: 26000 	 loss = inf
Epoch: 26100 	 loss = inf
Epoch: 26200 	 loss = inf
Epoch: 26300 	 loss = inf
Epoch: 26400 	 loss = inf
Epoch: 26500 	 loss = inf
Epoch: 26600 	 loss = inf
Epoch: 26700 	 loss = inf
Epoch: 26800 	 loss = inf
Epoch: 26900 	 loss = inf
Epoch: 27000 	 loss = inf
Epoch: 27100 	 loss = inf
Epoch: 27200 	 loss = inf
Epoch: 27300 	 loss = inf
Epoch: 27400 	 loss = inf
Epoch: 27500 	 loss = inf
Epoch: 27600 	 loss = inf
Epoch: 27700 	 loss = inf
Epoch: 27800 	 loss = inf
Epoch: 27900 	 loss = inf
Epoch: 28000 	 loss = inf
Epoch: 28100 	 loss = inf
Epoch: 28200 	 loss = inf
Epoch: 28300 	 loss = inf
Epoch: 28400 	 loss = inf
Epoch: 28500 	 loss = inf
Epoch: 28600 	 loss = inf
Epoch: 28700 	 loss = inf
Epoch: 28800 	 loss = inf
Epoch: 28900 	 loss = inf
Epoch: 29000 	 loss = inf
Epoch: 29100 	 loss = inf
Epoch: 29200 	 loss = inf
Epoch: 29300 	 loss = inf
Epoch: 29400 	 loss = inf
Epoch: 29500 	 loss = inf
Epoch: 29600 	 loss = inf
Epoch: 29700 	 loss = inf
Epoch: 29800 	 loss = inf
Epoch: 29900 	 loss = inf
Epoch: 30000 	 loss = inf
Epoch: 30100 	 loss = inf
Epoch: 30200 	 loss = inf
Epoch: 30300 	 loss = inf
Epoch: 30400 	 loss = inf
Epoch: 30500 	 loss = inf
Epoch: 30600 	 loss = inf
Epoch: 30700 	 loss = inf
Epoch: 30800 	 loss = inf
Epoch: 30900 	 loss = inf
Epoch: 31000 	 loss = inf
Epoch: 31100 	 loss = inf
Epoch: 31200 	 loss = inf
Epoch: 31300 	 loss = inf
Epoch: 31400 	 loss = inf
Epoch: 31500 	 loss = inf
Epoch: 31600 	 loss = inf
Epoch: 31700 	 loss = inf
Epoch: 31800 	 loss = inf
Epoch: 31900 	 loss = inf
Epoch: 32000 	 loss = inf
Epoch: 32100 	 loss = inf
Epoch: 32200 	 loss = inf
Epoch: 32300 	 loss = inf
Epoch: 32400 	 loss = inf
Epoch: 32500 	 loss = inf
Epoch: 32600 	 loss = inf
Epoch: 32700 	 loss = inf
Epoch: 32800 	 loss = inf
Epoch: 32900 	 loss = inf
Epoch: 33000 	 loss = inf
Epoch: 33100 	 loss = inf
Epoch: 33200 	 loss = inf
Epoch: 33300 	 loss = inf
Epoch: 33400 	 loss = inf
Epoch: 33500 	 loss = inf
Epoch: 33600 	 loss = inf
Epoch: 33700 	 loss = inf
Epoch: 33800 	 loss = inf
Epoch: 33900 	 loss = inf
Epoch: 34000 	 loss = inf
Epoch: 34100 	 loss = inf
Epoch: 34200 	 loss = inf
Epoch: 34300 	 loss = inf
Epoch: 34400 	 loss = inf
Epoch: 34500 	 loss = inf
Epoch: 34600 	 loss = inf
Epoch: 34700 	 loss = inf
Epoch: 34800 	 loss = inf
Epoch: 34900 	 loss = inf
Epoch: 35000 	 loss = inf
Epoch: 35100 	 loss = inf
Epoch: 35200 	 loss = inf
Epoch: 35300 	 loss = inf
Epoch: 35400 	 loss = inf
Epoch: 35500 	 loss = inf
Epoch: 35600 	 loss = inf
Epoch: 35700 	 loss = inf
Epoch: 35800 	 loss = inf
Epoch: 35900 	 loss = inf
Epoch: 36000 	 loss = inf
Epoch: 36100 	 loss = inf
Epoch: 36200 	 loss = inf
Epoch: 36300 	 loss = inf
Epoch: 36400 	 loss = inf
Epoch: 36500 	 loss = inf
Epoch: 36600 	 loss = inf
Epoch: 36700 	 loss = inf
Epoch: 36800 	 loss = inf
Epoch: 36900 	 loss = inf
Epoch: 37000 	 loss = inf
Epoch: 37100 	 loss = inf
Epoch: 37200 	 loss = inf
Epoch: 37300 	 loss = inf
Epoch: 37400 	 loss = inf
Epoch: 37500 	 loss = inf
Epoch: 37600 	 loss = inf
Epoch: 37700 	 loss = inf
Epoch: 37800 	 loss = inf
Epoch: 37900 	 loss = inf
Epoch: 38000 	 loss = inf
Epoch: 38100 	 loss = inf
Epoch: 38200 	 loss = inf
Epoch: 38300 	 loss = inf
Epoch: 38400 	 loss = inf
Epoch: 38500 	 loss = inf
Epoch: 38600 	 loss = inf
Epoch: 38700 	 loss = inf
Epoch: 38800 	 loss = inf
Epoch: 38900 	 loss = inf
Epoch: 39000 	 loss = inf
Epoch: 39100 	 loss = inf
Epoch: 39200 	 loss = inf
Epoch: 39300 	 loss = inf
Epoch: 39400 	 loss = inf
Epoch: 39500 	 loss = inf
Epoch: 39600 	 loss = inf
Epoch: 39700 	 loss = inf
Epoch: 39800 	 loss = inf
Epoch: 39900 	 loss = inf
Epoch: 40000 	 loss = inf
Epoch: 40100 	 loss = inf
Epoch: 40200 	 loss = inf
Epoch: 40300 	 loss = inf
Epoch: 40400 	 loss = inf
Epoch: 40500 	 loss = inf
Epoch: 40600 	 loss = inf
Epoch: 40700 	 loss = inf
Epoch: 40800 	 loss = inf
Epoch: 40900 	 loss = inf
Epoch: 41000 	 loss = inf
Epoch: 41100 	 loss = inf
Epoch: 41200 	 loss = inf
Epoch: 41300 	 loss = inf
Epoch: 41400 	 loss = inf
